id;fecha_pago;monto;metodo;estado;transaccion_id;activo
1;2026-01-14T19:32:17;17395.55;EFECTIVO;COMPLETADO;wearily soon chairperson;false
2;2026-01-15T10:39:26;25971.87;EFECTIVO;PENDIENTE;amid inquisitively;false
3;2026-01-15T07:35:23;14375.07;TARJETA;RECHAZADO;politely knottily;false
4;2026-01-14T22:48:47;24338.68;TRANSFERENCIA;COMPLETADO;schedule;true
5;2026-01-15T01:46:50;28183.81;TARJETA;PENDIENTE;yowza saw properly;false
6;2026-01-15T05:39:29;19907.46;EFECTIVO;COMPLETADO;after excluding;false
7;2026-01-15T09:45:16;30138.62;EFECTIVO;RECHAZADO;pillory at;false
8;2026-01-15T11:58:31;9329.55;TARJETA;COMPLETADO;given;false
9;2026-01-15T12:51:02;28569.04;TRANSFERENCIA;RECHAZADO;pinion;false
10;2026-01-15T16:18:33;28524.98;EFECTIVO;COMPLETADO;geez readjust within;true
