id;clave;valor_texto;imagen;imagen_content_type;activo
1;once aha;by reproach;../fake-data/blob/hipster.png;image/png;false
2;interviewer meanwhile;inspect fortunately aha;../fake-data/blob/hipster.png;image/png;true
3;whenever;deadly oof quiet;../fake-data/blob/hipster.png;image/png;true
4;because;actually ambitious;../fake-data/blob/hipster.png;image/png;false
5;brightly;switchboard;../fake-data/blob/hipster.png;image/png;false
6;hmph victoriously neighboring;widow;../fake-data/blob/hipster.png;image/png;false
7;often woot;hateful;../fake-data/blob/hipster.png;image/png;true
8;illusion;ignorant barracks;../fake-data/blob/hipster.png;image/png;false
9;cleaner molasses;past chap;../fake-data/blob/hipster.png;image/png;true
10;meh ah;grouper wherever;../fake-data/blob/hipster.png;image/png;false
